link_id, from_tile_id, from_pos_idx, to_tile_id, to_pos_idx, control_radius_percent, color, ref_color, opacity
l2509,tile2,287,tile3,244,0.3, ,c2,0.1
l2510,tile3,244,tile1,274,0.3, ,c3,0.1
l2511,tile1,274,tile4,283,0.3, ,c1,0.1
l2512,tile4,284,tile2,288,0.3, ,c4,0.1
l2513,tile2,288,tile9,301,0.3, ,c2,0.1
l2514,tile9,301,tile5,298,0.3, ,c9,0.1
l2515,tile5,298,tile2,289,0.3, ,c5,0.1
l2516,tile2,289,tile4,285,0.3, ,c2,0.1
l2517,tile4,285,tile8,287,0.3, ,c4,0.1
l2518,tile8,287,tile4,286,0.3, ,c8,0.1
l2519,tile4,286,tile9,302,0.3, ,c4,0.1
l2520,tile9,302,tile3,245,0.3, ,c9,0.1
l2521,tile3,245,tile7,264,0.3, ,c3,0.1
l2522,tile7,264,tile1,275,0.3, ,c7,0.1
l2523,tile1,275,tile8,288,0.3, ,c1,0.1
l2524,tile8,288,tile7,265,0.3, ,c8,0.1
l2525,tile7,265,tile1,276,0.3, ,c7,0.1
l2526,tile1,277,tile0,238,0.3, ,c1,0.1
l2527,tile0,238,tile1,278,0.3, ,c0,0.1
l2528,tile1,278,tile4,287,0.3, ,c1,0.1
l2529,tile4,287,tile5,299,0.3, ,c4,0.1
l2530,tile5,299,tile7,266,0.3, ,c5,0.1
l2531,tile7,266,tile6,285,0.3, ,c7,0.1
l2532,tile6,285,tile5,300,0.3, ,c6,0.1
l2533,tile5,300,tile4,288,0.3, ,c5,0.1
l2534,tile4,288,tile0,239,0.3, ,c4,0.1
l2535,tile0,239,tile3,246,0.3, ,c0,0.1
l2536,tile3,246,tile5,301,0.3, ,c3,0.1
